,text,tokens,actual,predicted
391,· Teatre ·,· Teatre · · T  Te Tea eat atr tre re  e · ,ca,fr
392,95-,,zh,en
393,to byer .,to byer to  o b  by bye yer er  ,da,no
394,"] , Luft-",Luft   L  Lu Luf uft ,de,it
395,da crise do,da crise do da  a c  cr cri ris ise se  e d  do ,pt,gl
396,475-476 ),,it,en
397,", u svemirskim brodovima , suborbitalnim letelicama ili na svemirskim",u svemirskim brodovima suborbitalnim letelicama ili na svemirskim  u  u s  sv sve vem emi mir irs rsk ski kim im  m b  br bro rod odo dov ovi vim ima ma  a     s  su sub ubo bor orb rbi bit ita tal aln lni nim im  m l  le let ete tel eli lic ica cam ama ma  a i  il ili li  i n  na na  a s  sv sve vem emi mir irs rsk ski kim ,sh,hr
398,- Cerceda -,Cerceda  Ce Cer erc rce ced eda da  ,gl,es
399,de 1992 de,de de de  e     d  de ,ca,fr
400,kk ) ·,kk · kk  k     · ,uz,no
401,ly ) ·,ly l y · · ly  y     · ,nn,no
402,",  ",,th,en
403,las necesidades militares.»,las necesidades militares» las as  s n  ne nec ece ces esi sid ida dad ade des es  s m  mi mil ili lit ita tar are res es» ,es,gl
404,una coberta a,una coberta a una na  a c  co cob obe ber ert rta ta  a a ,ca,it
405,"i to ,",i to i t  to to  ,nn,en
406,hoc est '',hoc est hoc oc  c e  es est st  ,da,fr
407,био да се књижевни национални језици што је више могуће,био б и о да д а се с е књижевни к њ и ж е в н и национални н а ц и о н а л н и језици ј е з и ц и што ш т о је ј е више в и ш е могуће м о г у ћ е био ио  о д  да да  а с  се се  е к  књ књи њиж иже жев евн вни ни  и н  на нац аци цио ион она нал алн лни ни  и ј  је јез ези зиц ици ци  и ш  шт што то  о ј  је је  е в  ви виш ише ше  е м  мо мог огу гућ уће ,sh,sr
408,piana del Sele,piana del Sele pia ian ana na  a d  de del el  l S  Se Sel ele ,it,es
409,↑ [ O. V. ] : André Gide . (,↑ O V André Gide ↑     O  O  O V  V  V         A  An And ndr dré ré  é G  Gi Gid ide de  e   ,de,pt
410,; i (,i i  i  ,sh,it
411,. s. 185,s  s  ,tr,en
412,"2004 , provided",provided   p  pr pro rov ovi vid ide ded ,ar,en
413,d'Osios Loukas i,dOsios d O s i o s Loukas L o u k a s i i dOs Osi sio ios os  s L  Lo Lou ouk uka kas as  s i ,ca,lt
414,", Northland ,",Northland  No Nor ort rth thl hla lan and nd  ,ca,en
415,"and changing continually under revision , extension and replacement from",and changing continually under revision extension and replacement from and nd  d c  ch cha han ang ngi gin ing ng  g c  co con ont nti tin inu nua ual all lly ly  y u  un und nde der er  r r  re rev evi vis isi sio ion on  n     e  ex ext xte ten ens nsi sio ion on  n a  an and nd  d r  re rep epl pla lac ace cem eme men ent nt  t f  fr fro rom ,de,en
416,Bruxas • Salamanca • 2003 : Graz • 2004 :,Bruxas B r u x a s • • Salamanca S a l a m a n c a • • Graz G r a z • • Bru rux uxa xas as  s •  •  • S  Sa Sal ala lam ama man anc nca ca  a •  •  •         G  Gr Gra raz az  z •  •  •   ,gl,eu
417,",00",,th,en
418,（   C,（ （ C C （         C ,ja,zh
419,scandinava ( color,scandinava s c a n d i n a v a color c o l o r sca can and ndi din ina nav ava va  a     c  co col olo lor ,it,ca
420,Educational Contexts '',Educational E d u c a t i o n a l Contexts C o n t e x t s Edu duc uca cat ati tio ion ona nal al  l C  Co Con ont nte tex ext xts ts  ,en,ca
421,gå i skolan,gå g å i i skolan s k o l a n gå  å i  i  i s  sk sko kol ola lan ,sv,da
422,ochib berdi .,ochib berdi och chi hib ib  b b  be ber erd rdi di  ,uz,it
423,derfor med flere,derfor d e r f o r med m e d flere f l e r e der erf rfo for or  r m  me med ed  d f  fl fle ler ere ,no,da
424,"soul , and",soul and sou oul ul  l     a  an and ,sh,en
425,character . As,character As cha har ara rac act cte ter er  r     A  As ,la,en
426,Други балкански рат,Други Д р у г и балкански б а л к а н с к и рат р а т Дру руг уги ги  и б  ба бал алк лка кан анс нск ски ки  и р  ра рат ,sr,bg
427,Officer yang asli,Officer yang asli Off ffi fic ice cer er  r y  ya yan ang ng  g a  as asl sli ,id,ms
428,. Od svoje,Od svoje  Od Od  d s  sv svo voj oje ,sl,sh
429, ↑  a   b   c   d   e   f   g   h   i   j   k   l   m   n   o   p   q   r   s   t   u   v   w   x   y   z   aa   ab   ac   ad   ae   af   ag   ah   ai   aj   ak   al   am   an   ao   ap   aq   ar   as   at   au   av   aw   ax   ay   az   ba   bb   USCensusBureau: Countries and Areas Ranked by Population: 2009 ,↑ ↑ a a b b c c d d e e f f g g h h i i j j k k l l m m n n o o p p q q r r s s t t u u v v w w x x y y z z aa a a ab a b ac a c ad a d ae a e af a f ag a g ah a h ai a i aj a j ak a k al a l am a m an a n ao a o ap a p aq a q ar a r as a s at a t au a u av a v aw a w ax a x ay a y az a z ba b a bb b b USCensusBureau U S C e n s u s B u r e a u Countries C o u n t r i e s and a n d Areas A r e a s Ranked R a n k e d by b y Population P o p u l a t i o n  ↑  ↑     a  a  a         b  b  b         c  c  c         d  d  d         e  e  e         f  f  f         g  g  g         h  h  h         i  i  i         j  j  j         k  k  k         l  l  l         m  m  m         n  n  n         o  o  o         p  p  p         q  q  q         r  r  r         s  s  s         t  t  t         u  u  u         v  v  v         w  w  w         x  x  x         y  y  y         z  z  z         a  aa aa  a         a  ab ab  b         a  ac ac  c         a  ad ad  d         a  ae ae  e         a  af af  f         a  ag ag  g         a  ah ah  h         a  ai ai  i         a  aj aj  j         a  ak ak  k         a  al al  l         a  am am  m         a  an an  n         a  ao ao  o         a  ap ap  p         a  aq aq  q         a  ar ar  r         a  as as  s         a  at at  t         a  au au  u         a  av av  v         a  aw aw  w         a  ax ax  x         a  ay ay  y         a  az az  z         b  ba ba  a         b  bb bb  b         U  US USC SCe Cen ens nsu sus usB sBu Bur ure rea eau au  u C  Co Cou oun unt ntr tri rie ies es  s a  an and nd  d A  Ar Are rea eas as  s R  Ra Ran ank nke ked ed  d b  by by  y P  Po Pop opu pul ula lat ati tio ion on  n   ,fi,hi
430,s −2 .,s s − − s −  −  ,bg,nn
431,• Alabama •,• • Alabama A l a b a m a • • • A  Al Ala lab aba bam ama ma  a • ,uz,ro
432,Migratory shearwaters integrate,Migratory shearwaters integrate Mig igr gra rat ato tor ory ry  y s  sh she hea ear arw rwa wat ate ter ers rs  s i  in int nte teg egr gra rat ate ,fa,en
433,The State Steps,The State Steps The he  e S  St Sta tat ate te  e S  St Ste tep eps ,vi,en
434,Naujoji Meksika | Nebraska | Nevada | Niujorkas | Ohajas,Naujoji N a u j o j i Meksika M e k s i k a Nebraska N e b r a s k a Nevada N e v a d a Niujorkas N i u j o r k a s Ohajas O h a j a s Nau auj ujo joj oji ji  i M  Me Mek eks ksi sik ika ka  a     N  Ne Neb ebr bra ras ask ska ka  a     N  Ne Nev eva vad ada da  a     N  Ni Niu iuj ujo jor ork rka kas as  s     O  Oh Oha haj aja jas ,lt,et
435,i 1598 .,i i   ,no,it
436,2 ) discrete,discrete   d  di dis isc scr cre ret ete ,en,la
437,• 1969/70 :,• • •   ,da,pl
438,note 1 ],note not ote te  e   ,no,en
439,LCCN 00-061677 .,LCCN L C C N LCC CCN CN  N   ,ms,hy
440,actuais límites de,actuais a c t u a i s límites l í m i t e s de d e act ctu tua uai ais is  s l  lí lím ími mit ite tes es  s d  de ,gl,ca
441,divadla v Púchove,divadla v Púchove div iva vad adl dla la  a v  v  v P  Pú Púc úch cho hov ove ,sk,es
442,", p. 12–209",p p – –  p  p – ,eo,de
443,https : //www.gutenberg.org/etext/3501,https h t t p s wwwgutenbergorgetext w w w g u t e n b e r g o r g e t e x t htt ttp tps ps  s     w  ww www wwg wgu gut ute ten enb nbe ber erg rgo gor org rge get ete tex ext ,en,sv
444,family members accompanying these personnel overseas . The commercial television,family members accompanying these personnel overseas The commercial television fam ami mil ily ly  y m  me mem emb mbe ber ers rs  s a  ac acc cco com omp mpa pan any nyi yin ing ng  g t  th the hes ese se  e p  pe per ers rso son onn nne nel el  l o  ov ove ver ers rse sea eas as  s     T  Th The he  e c  co com omm mme mer erc rci cia ial al  l t  te tel ele lev evi vis isi sio ion ,de,en
445,", dubok (",dubok d u b o k  du dub ubo bok ok  ,sh,hr
446,"Press , ss",Press ss Pre res ess ss  s     s  ss ,tr,en
447,• Музей флота,• • Музей М у з е й флота ф л о т а • М  Му Муз узе зей ей  й ф  фл фло лот ота ,be,ru
448,La línia de,La línia de La  a l  lí lín íni nia ia  a d  de ,ca,es
449,sido o lar,sido o lar sid ido do  o o  o  o l  la lar ,pt,es
450,"P.M. Holt ,",PM P M Holt H o l t PM  M H  Ho Hol olt lt  ,en,hu
451,per la nomina,per p e r la l a nomina n o m i n a per er  r l  la la  a n  no nom omi min ina ,it,ca
452,eral Santos City,eral Santos City era ral al  l S  Sa San ant nto tos os  s C  Ci Cit ity ,war,es
453,halkar ur handen,halkar h a l k a r ur u r handen h a n d e n hal alk lka kar ar  r u  ur ur  r h  ha han and nde den ,sv,tr
454,were not published,were not published wer ere re  e n  no not ot  t p  pu pub ubl bli lis ish she hed ,bg,en
455,Thai ) ·,Thai T h a i · · Tha hai ai  i     · ,en,hu
456,Tauragę . 1836,Tauragę T a u r a g ę Tau aur ura rag agę gę  ę   ,lt,pl
457,انسان بر خاک,انسان ا ن س ا ن بر ب ر خاک خ ا ک انس نسا سان ان  ن ب  بر بر  ر خ  خا خاک ,fa,ur
458,: 2015-01-01 .,,az,en
459,and power of,and power of and nd  d p  po pow owe wer er  r o  of ,th,en
460,Society ) .,Society Soc oci cie iet ety ty  y   ,zh,es
461,is now Estonia,is i s now n o w Estonia E s t o n i a is  s n  no now ow  w E  Es Est sto ton oni nia ,en,pl
462,sabaudo ( 1946,sabaudo sab aba bau aud udo do  o   ,it,es
463,) • William,• • William W i l l i a m  •  • W  Wi Wil ill lli lia iam ,sl,pl
464,"Noether , Emmy ( 1908 ) , «Über die Bildung",Noether Emmy «Über die Bildung Noe oet eth the her er  r     E  Em Emm mmy my  y                 «  «Ü «Üb Übe ber er  r d  di die ie  e B  Bi Bil ild ldu dun ung ,hy,de
465,start for Europe,start for Europe sta tar art rt  t f  fo for or  r E  Eu Eur uro rop ope ,cs,no
466,Hitu • Horuru,Hitu H i t u • • Horuru H o r u r u Hit itu tu  u •  •  • H  Ho Hor oru rur uru ,id,eu
467,godina kada su počela testiranja pogonskih raketa koje će kasnije,godina kada su počela testiranja pogonskih raketa koje će kasnije god odi din ina na  a k  ka kad ada da  a s  su su  u p  po poč oče čel ela la  a t  te tes est sti tir ira ran anj nja ja  a p  po pog ogo gon ons nsk ski kih ih  h r  ra rak ake ket eta ta  a k  ko koj oje je  e ć  će će  e k  ka kas asn sni nij ije ,hr,sh
468,Vanuatu • Vietname,Vanuatu • Vietname Van anu nua uat atu tu  u •  •  • V  Vi Vie iet etn tna nam ame ,pt,no
469,1928-29 · 1929-30,· ·  ·  ,hy,no
470,", [ 4",,uk,en
471,. Сенат пен,Сенат С е н а т пен п е н  Се Сен ена нат ат  т п  пе пен ,kk,sr
472,• Mauricijus •,• Mauricijus • • M  Ma Mau aur uri ric ici cij iju jus us  s • ,hr,sh
473,McQueen heels ),McQueen M c Q u e e n heels h e e l s McQ cQu Que uee een en  n h  he hee eel els ls  ,tr,nl
474,• Cyber •,• • Cyber C y b e r • • • C  Cy Cyb ybe ber er  r • ,fa,da
475,hypertension in the,hypertension in the hyp ype per ert rte ten ens nsi sio ion on  n i  in in  n t  th the ,ro,en
476,de la landa,de la landa de  e l  la la  a l  la lan and nda ,eo,es
477,Fossil and Recent,Fossil and Recent Fos oss ssi sil il  l a  an and nd  d R  Re Rec ece cen ent ,it,en
478,"IV , Бенджамин",IV I V Бенджамин Б е н д ж а м и н IV  V     Б  Бе Бен енд ндж джа жам ами мин ,kk,ru
479,• Egipat •,• Egipat • • E  Eg Egi gip ipa pat at  t • ,hr,sh
480,the 2008 presidential,the presidential the he  e     p  pr pre res esi sid ide den ent nti tia ial ,fa,en
481,olje ) .,olje olj lje je  e   ,no,sl
482,1662 1673 1679,,eo,en
483,Section 1 Population,Section Population Sec ect cti tio ion on  n     P  Po Pop opu pul ula lat ati tio ion ,hi,en
484,| Buren |,Buren  Bu Bur ure ren en  ,vo,de
485,", Chinach ,",Chinach C h i n a c h  Ch Chi hin ina nac ach ch  ,pl,de
486,· OMC ·,· · OMC O M C · · · O  OM OMC MC  C · ,fr,no
487,Matlin ( 1986,Matlin M a t l i n Mat atl tli lin in  n   ,vi,en
488,su glavno sredstvo,su glavno sredstvo su  u g  gl gla lav avn vno no  o s  sr sre red eds dst stv tvo ,hr,sh
489,Våren er også,Våren er også Vår åre ren en  n e  er er  r o  og ogs gså ,nn,no
490,. [ 62,,pt,en
491,Tarik O'Regan Dutch,Tarik ORegan Dutch Tar ari rik ik  k O  OR ORe Reg ega gan an  n D  Du Dut utc tch ,fr,id
492,Loire,Loire Loi oir ire ,sh,fr
493,ein khanda (,ein khanda ein in  n k  kh kha han and nda da  ,nn,en
494,↑ `` Les Gaulois figurent seulement parmi d'autres dans la,↑ Les Gaulois figurent seulement parmi dautres dans la ↑     L  Le Les es  s G  Ga Gau aul ulo loi ois is  s f  fi fig igu gur ure ren ent nt  t s  se seu eul ule lem eme men ent nt  t p  pa par arm rmi mi  i d  da dau aut utr tre res es  s d  da dan ans ns  s l  la ,pt,fr
495,) est protocollum,est e s t protocollum p r o t o c o l l u m  es est st  t p  pr pro rot oto toc oco col oll llu lum ,la,ca
496,Fertile Crescent and,Fertile Crescent and Fer ert rti til ile le  e C  Cr Cre res esc sce cen ent nt  t a  an and ,sv,en
497,maiores progressos .,maiores progressos mai aio ior ore res es  s p  pr pro rog ogr gre res ess sso sos os  ,pt,gl
498,( October 2005,October  Oc Oct cto tob obe ber er  ,hy,it
499,"has not ,",has not has as  s n  no not ot  ,de,en
500,^ „ ...,„ „  „  ,ro,de
501,"( 1,7 mln",mln m l n   m  ml mln ,uz,lt
502,Median Income for,Median Income for Med edi dia ian an  n I  In Inc nco com ome me  e f  fo for ,sv,en
503,", la batuta",la l a batuta b a t u t a  la la  a b  ba bat atu tut uta ,es,eu
504,po janje i,po janje i po  o j  ja jan anj nje je  e i ,hr,sl
505,:en:,en ,ja,es
506,) · Slovène,· · Slovène S l o v è n e  ·  · S  Sl Slo lov ovè vèn ène ,fr,ca
507,[ 50 ],,az,en
508,спортивном зале СОШ,спортивном с п о р т и в н о м зале з а л е СОШ С О Ш спо пор орт рти тив ивн вно ном ом  м з  за зал але ле  е С  СО СОШ ,eo,ru
509,Rauri C. K.,Rauri R a u r i C C K K Rau aur uri ri  i C  C  C K ,fa,ro
510,", Vegard Samdahl",Vegard Samdahl  Ve Veg ega gar ard rd  d S  Sa Sam amd mda dah ahl ,hr,sh
511,: belem di,belem di  be bel ele lem em  m d  di ,vo,pt
512,: Aleran (,Aleran A l e r a n  Al Ale ler era ran an  ,fr,eu
513,Petrus de Sede,Petrus de Sede Pet etr tru rus us  s d  de de  e S  Se Sed ede ,ca,es
514,"Collegiate Dictionary ,",Collegiate Dictionary Col oll lle leg egi gia iat ate te  e D  Di Dic ict cti tio ion ona nar ary ry  ,ar,en
515,vo Furnace Creek,vo Furnace Creek vo  o F  Fu Fur urn rna nac ace ce  e C  Cr Cre ree eek ,sk,it
516,`` forced to,forced to  fo for orc rce ced ed  d t  to ,sv,en
517,av slitasje om,av slitasje om av  v s  sl sli lit ita tas asj sje je  e o  om ,nn,no
518,Sangheli ( 2,Sangheli San ang ngh ghe hel eli li  i   ,ro,no
519,with agricultural life,with agricultural life wit ith th  h a  ag agr gri ric icu cul ult ltu tur ura ral al  l l  li lif ife ,ar,en
520,Mauricio Mixco .,Mauricio M a u r i c i o Mixco M i x c o Mau aur uri ric ici cio io  o M  Mi Mix ixc xco co  ,fa,eo
521,38 % .,,fr,en
522,1961 . —,— —   — ,kk,ru
523,"torva , i",torva i tor orv rva va  a     i ,nn,ca
524,1661 1667 1672,,eo,en
525,a 72 Mbps,a Mbps a     M  Mb Mbp bps ,it,ca
526,] 2,,zh,en
527,Шейх хан •,Шейх Ш е й х хан х а н • • Шей ейх йх  х х  ха хан ан  н • ,kk,ru
528,. [ 31,,la,en
529,laki-laki . Sel,lakilaki l a k i l a k i Sel S e l lak aki kil ila lak aki ki  i     S  Se Sel ,id,ms
530,"Winston Churchill ,",Winston Churchill Win ins nst sto ton on  n C  Ch Chu hur urc rch chi hil ill ll  ,ro,en
531,kerja mereka pada,kerja mereka pada ker erj rja ja  a m  me mer ere rek eka ka  a p  pa pad ada ,ms,id
532,1378 . Kad,Kad   K  Ka Kad ,sh,hr
533,"Fuge , Contrapunctus",Fuge F u g e Contrapunctus C o n t r a p u n c t u s Fug uge ge  e     C  Co Con ont ntr tra rap apu pun unc nct ctu tus ,no,ro
534,• 2003-04 • 2004-05 • 2005-06 • 2006-07 • 2007-08,• • • • • • • • • • •     •  •  •     •  •  •     •  •  •     •  •  ,da,pl
535,17 december 2007,december d e c e m b e r  de dec ece cem emb mbe ber er  ,sv,da
536,[ 48 ],,uk,en
537,2043 2048 2054 2065 2071 2076 2082 2093 2099 ;,                            ,eo,en
538,. Per ineuntes,Per ineuntes  Pe Per er  r i  in ine neu eun unt nte tes ,la,de
539,Siegfried S. ;,Siegfried S Sie ieg egf gfr fri rie ied ed  d S  S  ,el,en
540,. ] 1996,,pt,en
541,od čega se,od čega se od  d č  če čeg ega ga  a s  se ,hr,sh
542,; 1988/1989 ;,,he,en
543,2 ч .,ч ч  ч  ,ru,zh
544,al darrere hi,al a l darrere d a r r e r e hi h i al  l d  da dar arr rre rer ere re  e h  hi ,ca,eu
545,siria teritorio .,siria teritorio sir iri ria ia  a t  te ter eri rit ito tor ori rio io  ,eo,es
546,"2 O ,",O O  O  ,ca,pt
547,forskningen i Danmark,forskningen f o r s k n i n g e n i i Danmark D a n m a r k for ors rsk skn kni nin ing nge gen en  n i  i  i D  Da Dan anm nma mar ark ,no,da
548,"21 , 1793",,de,en
549,( 142502 ed,ed   e  ed ,el,en
550,Ini menyebabkan terbawanya,Ini menyebabkan terbawanya Ini ni  i m  me men eny nye yeb eba bab abk bka kan an  n t  te ter erb rba baw awa wan any nya ,id,ms
551,Maradona · Passarella,Maradona M a r a d o n a · · Passarella P a s s a r e l l a Mar ara rad ado don ona na  a ·  ·  · P  Pa Pas ass ssa sar are rel ell lla ,vi,sv
552,26-40 .,,ru,en
553,N a,N N a a N a ,zh,en
554,von Klenze .,von Klenze von on  n K  Kl Kle len enz nze ze  ,it,de
555,Augusta Marie Hall,Augusta Marie Hall Aug ugu gus ust sta ta  a M  Ma Mar ari rie ie  e H  Ha Hal all ,da,en
556,65 ] [ 66 ] [ 67 ],                    ,no,en
557,Monsunska klima u,Monsunska klima u Mon ons nsu sun uns nsk ska ka  a k  kl kli lim ima ma  a u ,hr,sh
558,sg.f . Romni,sgf Romni sgf gf  f     R  Ro Rom omn mni ,la,de
559,Cinquetti ve Toto,Cinquetti ve Toto Cin inq nqu que uet ett tti ti  i v  ve ve  e T  To Tot oto ,tr,it
560,do século XVII,do século XVII do  o s  sé séc écu cul ulo lo  o X  XV XVI VII ,gl,pt
561,", C.H .",CH C H  CH CH  ,de,en
562,sse,sse sse ,th,de
563,( див .,див д и в  ди див ив  ,uk,ru
564,ere .,ere ere re  ,eu,it
565,181 ( MS181,MS M S   M  MS ,ar,de
566,1912 1918 1929,,eo,en
567,1973 . •,• •   • ,sr,pl
568,singlice `` My,singlice My sin ing ngl gli lic ice ce  e     M  My ,sh,en
569,revolucije i ishodna,revolucije i ishodna rev evo vol olu luc uci cij ije je  e i  i  i i  is ish sho hod odn dna ,hr,sh
570,"of Brussels ,",of Brussels of  f B  Br Bru rus uss sse sel els ls  ,en,th
571,", ali ,",ali  al ali li  ,sh,it
572,Pont de Nemours,Pont de Nemours Pon ont nt  t d  de de  e N  Ne Nem emo mou our urs ,it,fr
573,· Paying the,· Paying the · P  Pa Pay ayi yin ing ng  g t  th the ,hu,en
574,«1941—1945 թթ .,«— « — թթ թ թ «—  — թ  թթ թթ  ,hy,ru
575,2005 ) ·,· ·   · ,vi,no
576,: Candia ;,Candia  Ca Can and ndi dia ia  ,bg,en
577,"ONU , dispõe",ONU O N U dispõe d i s p õ e ONU NU  U     d  di dis isp spõ põe ,pt,et
578,Attitudes Towards the,Attitudes Towards the Att tti tit itu tud ude des es  s T  To Tow owa war ard rds ds  s t  th the ,ms,en
579,[ 247 ],,ar,en
580,. `` De,De D e   D  De ,pt,fr
581,ad una guerra,ad una guerra ad  d u  un una na  a g  gu gue uer err rra ,it,ca
582,the Eucharist rituals Christians ate the body and drank the,the Eucharist rituals Christians ate the body and drank the the he  e E  Eu Euc uch cha har ari ris ist st  t r  ri rit itu tua ual als ls  s C  Ch Chr hri ris ist sti tia ian ans ns  s a  at ate te  e t  th the he  e b  bo bod ody dy  y a  an and nd  d d  dr dra ran ank nk  k t  th the ,az,en
583,13 ],,es,en
584,"francuska Encyclopédie ,",francuska Encyclopédie fra ran anc ncu cus usk ska ka  a E  En Enc ncy cyc ycl clo lop opé péd édi die ie  ,pl,de
585,[ 215 ],,sv,en
586,Kropp blir den,Kropp blir den Kro rop opp pp  p b  bl bli lir ir  r d  de den ,sv,nn
587,") , Austro-Ugarski",AustroUgarski   A  Au Aus ust str tro roU oUg Uga gar ars rsk ski ,hr,sh
588,& resnum=1 &,resnum  re res esn snu num um  ,ro,la
589,and Northern Ireland,and Northern Ireland and nd  d N  No Nor ort rth the her ern rn  n I  Ir Ire rel ela lan and ,war,en
590,"World , II",World II Wor orl rld ld  d     I  II ,pt,fr
591,Carcassonne i stari,Carcassonne i stari Car arc rca cas ass sso son onn nne ne  e i  i  i s  st sta tar ari ,sh,it
592,0°01′43″E ﻿ /,°′″E ° ′ ″ E ﻿ ﻿ °′″ ′″E ″E  E ﻿  ﻿  ,en,ru
593,"vett , on",vett v e t t on o n vet ett tt  t     o  on ,et,sv
594,23 : 1304–11,– –   – ,hi,de
595,Tehnika kojom je,Tehnika kojom je Teh ehn hni nik ika ka  a k  ko koj ojo jom om  m j  je ,sh,hr
596,"в бои ,",в в бои б о и в б  бо бои ои  ,bg,ru
597,"de 1922-01-15 ,",de de  e   ,eo,es
598,· Canonbury · Carshalton · Catford · Charlton · Chelsea,· Canonbury · Carshalton · Catford · Charlton · Chelsea · C  Ca Can ano non onb nbu bur ury ry  y ·  ·  · C  Ca Car ars rsh sha hal alt lto ton on  n ·  ·  · C  Ca Cat atf tfo for ord rd  d ·  ·  · C  Ch Cha har arl rlt lto ton on  n ·  ·  · C  Ch Che hel els lse sea ,ms,sv
599,activity patterns of two fossorial rodents and subsequent seismic events,activity patterns of two fossorial rodents and subsequent seismic events act cti tiv ivi vit ity ty  y p  pa pat att tte ter ern rns ns  s o  of of  f t  tw two wo  o f  fo fos oss sso sor ori ria ial al  l r  ro rod ode den ent nts ts  s a  an and nd  d s  su sub ubs bse seq equ que uen ent nt  t s  se sei eis ism smi mic ic  c e  ev eve ven ent nts ,uz,en
600,ISSN 0029-7712 .,ISSN ISS SSN SN  N   ,hi,de
601,da 1 352,da d a da  a   ,it,pt
602,. Journal of,Journal of  Jo Jou our urn rna nal al  l o  of ,ro,th
603,territorie . Som,territorie t e r r i t o r i e Som S o m ter err rri rit ito tor ori rie ie  e     S  So Som ,da,sv
604,Economic Co-operation and,Economic Cooperation and Eco con ono nom omi mic ic  c C  Co Coo oop ope per era rat ati tio ion on  n a  an and ,sr,en
605,Det har visat,Det har visat Det et  t h  ha har ar  r v  vi vis isa sat ,sv,no
606,recherches sur le,recherches sur le rec ech che her erc rch che hes es  s s  su sur ur  r l  le ,az,fr
607,f A,f f A A f A ,ja,en
608,"capital , Sarajevo",capital Sarajevo cap api pit ita tal al  l     S  Sa Sar ara raj aje jev evo ,pt,es
609,Challenger Series titulus,Challenger Series titulus Cha hal all lle len eng nge ger er  r S  Se Ser eri rie ies es  s t  ti tit itu tul ulu lus ,lt,de
610,", le but",le but  le le  e b  bu but ,fr,en
611,": Anastasopoulos ,",Anastasopoulos  An Ana nas ast sta tas aso sop opo pou oul ulo los os  ,el,pt
612,", modificare ,",modificare m o d i f i c a r e  mo mod odi dif ifi fic ica car are re  ,it,ro
613,`` memainkan peran yang sangat penting dalam kehidupan mereka '',memainkan peran yang sangat penting dalam kehidupan mereka  me mem ema mai ain ink nka kan an  n p  pe per era ran an  n y  ya yan ang ng  g s  sa san ang nga gat at  t p  pe pen ent nti tin ing ng  g d  da dal ala lam am  m k  ke keh ehi hid idu dup upa pan an  n m  me mer ere rek eka ka  ,id,ms
614,Hitit • Iranian,Hitit H i t i t • • Iranian I r a n i a n Hit iti tit it  t •  •  • I  Ir Ira ran ani nia ian ,ro,pl
615,"samla in ,",samla in sam aml mla la  a i  in in  ,sv,nn
616,se bet midraš,se bet midraš se  e b  be bet et  t m  mi mid idr dra raš ,hr,sl
617,Harold G. Lowe,Harold G Lowe Har aro rol old ld  d G  G  G L  Lo Low owe ,no,ms
618,i Old Slaughter,i Old Slaughter i O  Ol Old ld  d S  Sl Sla lau aug ugh ght hte ter ,hr,en
619,": مُوسَى ,",مُوسَى م ُ و س َ ى  مُ مُو ُوس وسَ سَى َى  ,hr,ar
620,12.10 ) |,,he,en
621,"administrative struktur ,",administrative a d m i n i s t r a t i v e struktur s t r u k t u r adm dmi min ini nis ist str tra rat ati tiv ive ve  e s  st str tru ruk ukt ktu tur ur  ,no,da
622,comercianti de doi,comercianti de doi com ome mer erc rci cia ian ant nti ti  i d  de de  e d  do doi ,ro,pt
623,mio . kr,mio m i o kr k r mio io  o     k  kr ,da,eo
624,turbulent historie .,turbulent historie tur urb rbu bul ule len ent nt  t h  hi his ist sto tor ori rie ie  ,da,en
625,European press agencies,European press agencies Eur uro rop ope pea ean an  n p  pr pre res ess ss  s a  ag age gen enc nci cie ies ,ro,en
626,2005 la TDK,la l a TDK T D K  la la  a T  TD TDK ,it,eo
627,"skôr , ako",skôr ako skô kôr ôr  r     a  ak ako ,sk,eu
628,Western Literature :,Western W e s t e r n Literature L i t e r a t u r e Wes est ste ter ern rn  n L  Li Lit ite ter era rat atu tur ure re  ,pt,ro
629,", San Antonio",San Antonio  Sa San an  n A  An Ant nto ton oni nio ,es,war
630,"Ananjeva , Nazan",Ananjeva Nazan Ana nan anj nje jev eva va  a     N  Na Naz aza zan ,uk,sh
631,Os puntos de,Os puntos de Os  s p  pu pun unt nto tos os  s d  de ,gl,es
632,pietismen kom til,pietismen kom til pie iet eti tis ism sme men en  n k  ko kom om  m t  ti til ,da,no
633,", men firandet",men m e n firandet f i r a n d e t  me men en  n f  fi fir ira ran and nde det ,sv,da
634,( ITU ),ITU I T U  IT ITU TU  ,fa,ms
635,": Willem-Alexander ,",WillemAlexander  Wi Wil ill lle lem emA mAl Ale lex exa xan and nde der er  ,la,de
636,) • Dominika,• Dominika  •  • D  Do Dom omi min ini nik ika ,sh,hr
637,Oman • Pakistan,Oman • Pakistan Oma man an  n •  •  • P  Pa Pak aki kis ist sta tan ,sh,hr
638,] Lika je,Lika je  Li Lik ika ka  a j  je ,sh,hr
639,1966 1977 1983,,eo,en
640,Men det er,Men M e n det d e t er e r Men en  n d  de det et  t e  er ,nn,no
641,· 1962 .,· · ·   ,hr,no
642,"kofferdam ) ,",kofferdam kof off ffe fer erd rda dam am  m   ,ru,de
643,Lipnica • Plaznica,Lipnica L i p n i c a • • Plaznica P l a z n i c a Lip ipn pni nic ica ca  a •  •  • P  Pl Pla laz azn zni nic ica ,sl,pl
644,American Congress concerning,American Congress concerning Ame mer eri ric ica can an  n C  Co Con ong ngr gre res ess ss  s c  co con onc nce cer ern rni nin ing ,hy,en
