,text,tokens,actual,predicted
466,de rezar volveron,de rezar volveron der ere rez eza zar arv rvo vol olv lve ver ero ron ,gl,es
467,„private man of,„private „ p r i v a t e man m a n of o f „pr pri riv iva vat ate te  e m  ma man an  n o  of ,hu,ro
468,") , kö",kö ,vo,en
469,: 2006» .,» »  »  ,el,fr
470,108 od 193,od ,hr,sh
471,menjadi seorang kartunis,menjadi seorang kartunis men enj nja jad adi dis ise seo eor ora ran ang ngk gka kar art rtu tun uni nis ,ms,id
472,singlice `` My,singlice My sin ing ngl gli lic ice ceM eMy ,sh,en
473,• 1958 •,• • • • •     • ,ru,pt
474,Daerah Khusus Ibukota,Daerah D a e r a h Khusus K h u s u s Ibukota I b u k o t a Dae aer era rah ah  h K  Kh Khu hus usu sus us  s I  Ib Ibu buk uko kot ota ,vi,eu
475,from the elephant enclosure at San Diego zoo ... But,from f r o m the t h e elephant e l e p h a n t enclosure e n c l o s u r e at a t San S a n Diego D i e g o zoo z o o But B u t fro rom om  m t  th the he  e e  el ele lep eph pha han ant nt  t e  en enc ncl clo los osu sur ure re  e a  at at  t S  Sa San an  n D  Di Die ieg ego go  o z  zo zoo oo  o     B  Bu But ,hi,nl
476,^ `` ...,,tr,en
477,"↑ Joshua D. Rothman , Notorious in the Neighborhood :",↑ Joshua D Rothman Notorious in the Neighborhood ↑Jo Jos osh shu hua uaD aDR DRo Rot oth thm hma man anN nNo Not oto tor ori rio iou ous usi sin int nth the heN eNe Nei eig igh ghb hbo bor orh rho hoo ood ,pt,en
478,prema kojem jednostavna teorija ima prednost u odnosu na složeniju,prema kojem jednostavna teorija ima prednost u odnosu na složeniju pre rem ema mak ako koj oje jem emj mje jed edn dno nos ost sta tav avn vna nat ate teo eor ori rij ija jai aim ima map apr pre red edn dno nos ost stu tuo uod odn dno nos osu sun una nas asl slo lož ože žen eni nij iju ,sh,hr
479,", Sint Eustatius",Sint S i n t Eustatius E u s t a t i u s  Si Sin int nt  t E  Eu Eus ust sta tat ati tiu ius ,nl,ca
480,. behaviour ponašanje,behaviour ponašanje beh eha hav avi vio iou our urp rpo pon ona naš aša šan anj nje ,hr,sh
481,York sent for,York sent for Yor ork rks kse sen ent ntf tfo for ,en,no
482,Danska • Estonija • Finska • Francuska • Grčka •,Danska • Estonija • Finska • Francuska • Grčka • Dan ans nsk ska ka• a•E •Es Est sto ton oni nij ija ja• a•F •Fi Fin ins nsk ska ka• a•F •Fr Fra ran anc ncu cus usk ska ka• a•G •Gr Grč rčk čka ka• ,hr,sh
483,1944 1950 1961,,eo,en
484,ein hovudrepresentant for « Generasjon X » . Etter at,ein hovudrepresentant for « Generasjon X » Etter at ein inh nho hov ovu vud udr dre rep epr pre res ese sen ent nta tan ant ntf tfo for or« r«G «Ge Gen ene ner era ras asj sjo jon onX nX» X»E »Et Ett tte ter era rat ,nn,no
485,Œœ • Øø • Ǿǿ • Ǒǒ • Ȍȍ •,Œœ Œ œ • • Øø Ø ø • • Ǿǿ Ǿ ǿ • • Ǒǒ Ǒ ǒ • • Ȍȍ Ȍ ȍ • • Œœ  œ •  •  • Ø  Øø Øø  ø •  •  • Ǿ  Ǿǿ Ǿǿ  ǿ •  •  • Ǒ  Ǒǒ Ǒǒ  ǒ •  •  • Ȍ  Ȍȍ Ȍȍ  ȍ • ,eo,da
486,( vjerovanja u,vjerovanja u vje jer ero rov ova van anj nja jau ,hr,sh
487,"15 , trigaria",trigaria t r i g a r i a   t  tr tri rig iga gar ari ria ,ca,sv
488,Uganda . [,Uganda U g a n d a Uga gan and nda da  a   ,sv,uz
489,. U prvoj,U prvoj Upr prv rvo voj ,sh,hr
490,vyslovení souhlasu s,vyslovení v y s l o v e n í souhlasu s o u h l a s u s s vys ysl slo lov ove ven ení ní  í s  so sou ouh uhl hla las asu su  u s ,ru,cs
491,altar barroco en,altar barroco en alt lta tar arb rba bar arr rro roc oco coe oen ,gl,es
492,• Cyber •,• • Cyber C y b e r • • • C  Cy Cyb ybe ber er  r • ,fa,pl
493,; 10 [,,be,en
494,Республика официально и,Республика Р е с п у б л и к а официально о ф и ц и а л ь н о и и Рес есп спу пуб убл бли лик ика ка  а о  оф офи фиц ици циа иал аль льн ьно но  о и ,ru,ce
495,", Monotheistic Religion resources ; Kirsch , God Against the Gods ; Woodhead , An Introduction to Christianity ; The Columbia Electronic Encyclopedia Monotheism ; The New Dictionary of Cultural Literacy , monotheism ; New Dictionary of Theology , Paul",Monotheistic M o n o t h e i s t i c Religion R e l i g i o n resources r e s o u r c e s Kirsch K i r s c h God G o d Against A g a i n s t the t h e Gods G o d s Woodhead W o o d h e a d An A n Introduction I n t r o d u c t i o n to t o Christianity C h r i s t i a n i t y The T h e Columbia C o l u m b i a Electronic E l e c t r o n i c Encyclopedia E n c y c l o p e d i a Monotheism M o n o t h e i s m The T h e New N e w Dictionary D i c t i o n a r y of o f Cultural C u l t u r a l Literacy L i t e r a c y monotheism m o n o t h e i s m New N e w Dictionary D i c t i o n a r y of o f Theology T h e o l o g y Paul P a u l  Mo Mon ono not oth the hei eis ist sti tic ic  c R  Re Rel eli lig igi gio ion on  n r  re res eso sou our urc rce ces es  s     K  Ki Kir irs rsc sch ch  h     G  Go God od  d A  Ag Aga gai ain ins nst st  t t  th the he  e G  Go God ods ds  s     W  Wo Woo ood odh dhe hea ead ad  d     A  An An  n I  In Int ntr tro rod odu duc uct cti tio ion on  n t  to to  o C  Ch Chr hri ris ist sti tia ian ani nit ity ty  y     T  Th The he  e C  Co Col olu lum umb mbi bia ia  a E  El Ele lec ect ctr tro ron oni nic ic  c E  En Enc ncy cyc ycl clo lop ope ped edi dia ia  a M  Mo Mon ono not oth the hei eis ism sm  m     T  Th The he  e N  Ne New ew  w D  Di Dic ict cti tio ion ona nar ary ry  y o  of of  f C  Cu Cul ult ltu tur ura ral al  l L  Li Lit ite ter era rac acy cy  y     m  mo mon ono not oth the hei eis ism sm  m     N  Ne New ew  w D  Di Dic ict cti tio ion ona nar ary ry  y o  of of  f T  Th The heo eol olo log ogy gy  y     P  Pa Pau aul ,kk,sh
496,jeden sezon w,jeden j e d e n sezon s e z o n w w jed ede den en  n s  se sez ezo zon on  n w ,pl,nl
497,: The Translation of Texts-Spurious Scriptures . In : Pacific,The T h e Translation T r a n s l a t i o n of o f TextsSpurious T e x t s S p u r i o u s Scriptures S c r i p t u r e s In I n Pacific P a c i f i c  Th The he  e T  Tr Tra ran ans nsl sla lat ati tio ion on  n o  of of  f T  Te Tex ext xts tsS sSp Spu pur uri rio iou ous us  s S  Sc Scr cri rip ipt ptu tur ure res es  s     I  In In  n     P  Pa Pac aci cif ifi fic ,hu,ro
498,12.10 ) |,,he,en
499,'konkret musikk ',konkret musikk kon onk nkr kre ret etm tmu mus usi sik ikk ,nn,de
500,англ . James,англ а н г л James J a m e s анг нгл гл  л     J  Ja Jam ame mes ,uk,be
501,138 .,,sk,en
502,) • Раби,• • Раби Р а б и  •  • Р  Ра Раб аби ,bg,ce
503,· Harold Harefoot,· Harold Harefoot ·Ha Har aro rol old ldH dHa Har are ref efo foo oot ,ms,no
504,sconvolgere l'arte europea,sconvolgere larte europea sco con onv nvo vol olg lge ger ere rel ela lar art rte tee eeu eur uro rop ope pea ,it,gl
505,Res,Res R e s Res ,zh,ca
506,ao redor da,ao redor da aor ore red edo dor ord rda ,gl,pt
507,· Palapag · Pambujan · Rosario · San Antonio ·,· Palapag · Pambujan · Rosario · San Antonio · ·Pa Pal ala lap apa pag ag· g·P ·Pa Pam amb mbu buj uja jan an· n·R ·Ro Ros osa sar ari rio io· o·S ·Sa San anA nAn Ant nto ton oni nio io· ,war,it
508,16 ] .,,be,en
509,"( juh ,",juh j u h  ju juh uh  ,hu,ru
510,este papa (,este papa est ste tep epa pap apa ,es,gl
511,dan agama raja-rajanya,dan agama rajarajanya dan ana nag aga gam ama mar ara raj aja jar ara raj aja jan any nya ,ms,id
512,met de moderne,met m e t de d e moderne m o d e r n e met et  t d  de de  e m  mo mod ode der ern rne ,nl,da
513,Hari Akhirat (,Hari Akhirat Har ari riA iAk Akh khi hir ira rat ,ms,id
514,"14 , 1987",,de,en
515,65 ] [ 66 ] [ 67 ],,no,en
516,1811 1816 1822,,eo,en
517,"for office ,",for f o r office o f f i c e for or  r o  of off ffi fic ice ce  ,zh,hi
518,культуры БССР (,культуры к у л ь т у р ы БССР Б С С Р кул уль льт ьту тур уры ры  ы Б  БС БСС ССР СР  ,be,ru
519,nyawa manusia yang,nyawa manusia yang nya yaw awa wam ama man anu nus usi sia iay aya yan ang ,ms,id
520,"eds . P.Saukkonen , H.Suni ) , Helsinki , Monila , 1997 , p.10-14 .",eds e d s PSaukkonen P S a u k k o n e n HSuni H S u n i Helsinki H e l s i n k i Monila M o n i l a p p eds ds  s     P  PS PSa Sau auk ukk kko kon one nen en  n     H  HS HSu Sun uni ni  i         H  He Hel els lsi sin ink nki ki  i     M  Mo Mon oni nil ila la  a             p  p  ,ro,fi
521,1976 ) *,,hi,en
522,STS-93 · STS-109 · STS-107,STS · STS · STS STS TS· S·S ·ST STS TS· S·S ·ST STS ,it,no
523,type « ver,type « ver typ ype pe« e«v «ve ver ,fr,nn
524,Ghana | Guinea | Guinea-Bissau | Kamerun | Kap Verde,Ghana Guinea GuineaBissau Kamerun Kap Verde Gha han ana naG aGu Gui uin ine nea eaG aGu Gui uin ine nea eaB aBi Bis iss ssa sau auK uKa Kam ame mer eru run unK nKa Kap apV pVe Ver erd rde ,de,nn
525,Carcassonne i stari,Carcassonne i stari Car arc rca cas ass sso son onn nne nei eis ist sta tar ari ,sh,it
526,Polen · Portugal,Polen P o l e n · · Portugal P o r t u g a l Pol ole len en  n ·  ·  · P  Po Por ort rtu tug uga gal ,nl,sv
527,Hari ) (,Hari H a r i Har ari ri  i   ,ar,sv
528,Hrvatski sabor je jednodomno zakonodavno tijelo s najviše 160 zastupnika,Hrvatski sabor je jednodomno zakonodavno tijelo s najviše zastupnika Hrv rva vat ats tsk ski kis isa sab abo bor orj rje jej eje jed edn dno nod odo dom omn mno noz oza zak ako kon ono nod oda dav avn vno not oti tij ije jel elo los osn sna naj ajv jvi viš iše šez eza zas ast stu tup upn pni nik ika ,sh,hr
529,simbol Ne dan,simbol Ne dan sim imb mbo bol olN lNe Ned eda dan ,ms,id
530,", perusahaan kereta Ransom E. Olds dan Henry Ford melariskan",perusahaan kereta Ransom E Olds dan Henry Ford melariskan per eru rus usa sah aha haa aan ank nke ker ere ret eta taR aRa Ran ans nso som omE mEO EOl Old lds dsd sda dan anH nHe Hen enr nry ryF yFo For ord rdm dme mel ela lar ari ris isk ska kan ,ms,id
531,Median Income for,Median M e d i a n Income I n c o m e for f o r Med edi dia ian an  n I  In Inc nco com ome me  e f  fo for ,sv,ca
532,"de Sandhurst ,",de Sandhurst deS eSa San and ndh dhu hur urs rst ,pt,en
533,at the age,at a t the t h e age a g e at  t t  th the he  e a  ag age ,tr,zh
534,"Press , ss",Press P r e s s ss s s Pre res ess ss  s     s  ss ,tr,sv
535,el control governamental,el e l control c o n t r o l governamental g o v e r n a m e n t a l el  l c  co con ont ntr tro rol ol  l g  go gov ove ver ern rna nam ame men ent nta tal ,ca,vi
536,sisaldab 2418 baiti,sisaldab s i s a l d a b baiti b a i t i sis isa sal ald lda dab ab  b     b  ba bai ait iti ,et,eu
537,demokratisk centralisme .,demokratisk d e m o k r a t i s k centralisme c e n t r a l i s m e dem emo mok okr kra rat ati tis isk sk  k c  ce cen ent ntr tra ral ali lis ism sme me  ,da,sv
538,Louise . Aboriginal,Louise L o u i s e Aboriginal A b o r i g i n a l Lou oui uis ise se  e     A  Ab Abo bor ori rig igi gin ina nal ,vi,fi
539,Sinopsis [ sunting | sunting sumber ] Film ini menceritakan tentang perjuangan gigih seorang wanita asal Aceh ( lihat Tjoet Nja ' Dhien ) dan teman-teman seperjuangannya melawan tentara Kerajaan Belanda yang menduduki Aceh di kala masa penjajahan Belanda di,Sinopsis sunting sunting sumber Film ini menceritakan tentang perjuangan gigih seorang wanita asal Aceh lihat Tjoet Nja Dhien dan temanteman seperjuangannya melawan tentara Kerajaan Belanda yang menduduki Aceh di kala masa penjajahan Belanda di Sin ino nop ops psi sis iss ssu sun unt nti tin ing ngs gsu sun unt nti tin ing ngs gsu sum umb mbe ber erF rFi Fil ilm lmi min ini nim ime men enc nce cer eri rit ita tak aka kan ant nte ten ent nta tan ang ngp gpe per erj rju jua uan ang nga gan ang ngi gig igi gih ihs hse seo eor ora ran ang ngw gwa wan ani nit ita taa aas asa sal alA lAc Ace ceh ehl hli lih iha hat atT tTj Tjo joe oet etN tNj Nja jaD aDh Dhi hie ien end nda dan ant nte tem ema man ant nte tem ema man ans nse sep epe per erj rju jua uan ang nga gan ann nny nya yam ame mel ela law awa wan ant nte ten ent nta tar ara raK aKe Ker era raj aja jaa aan anB nBe Bel ela lan and nda day aya yan ang ngm gme men end ndu dud udu duk uki kiA iAc Ace ceh ehd hdi dik ika kal ala lam ama mas asa sap ape pen enj nja jaj aja jah aha han anB nBe Bel ela lan and nda dad adi ,id,ms
540,Mokawloon Al Arab,Mokawloon M o k a w l o o n Al A l Arab A r a b Mok oka kaw awl wlo loo oon on  n A  Al Al  l A  Ar Ara rab ,cs,et
541,) : 605–616 [ 14 April 2011 ] . Bibcode,– – April A p r i l Bibcode B i b c o d e   –  –  –         A  Ap Apr pri ril il  l             B  Bi Bib ibc bco cod ode ,zh,ro
542,", I Should Be So Lucky , spent five weeks at number one , making her the most successful female artist in the UK charts with 13 successive Top 10 entries . To date , Kylie has spent 217 weeks",I I Should S h o u l d Be B e So S o Lucky L u c k y spent s p e n t five f i v e weeks w e e k s at a t number n u m b e r one o n e making m a k i n g her h e r the t h e most m o s t successful s u c c e s s f u l female f e m a l e artist a r t i s t in i n the t h e UK U K charts c h a r t s with w i t h successive s u c c e s s i v e Top T o p entries e n t r i e s To T o date d a t e Kylie K y l i e has h a s spent s p e n t weeks w e e k s  I  I S  Sh Sho hou oul uld ld  d B  Be Be  e S  So So  o L  Lu Luc uck cky ky  y     s  sp spe pen ent nt  t f  fi fiv ive ve  e w  we wee eek eks ks  s a  at at  t n  nu num umb mbe ber er  r o  on one ne  e     m  ma mak aki kin ing ng  g h  he her er  r t  th the he  e m  mo mos ost st  t s  su suc ucc cce ces ess ssf sfu ful ul  l f  fe fem ema mal ale le  e a  ar art rti tis ist st  t i  in in  n t  th the he  e U  UK UK  K c  ch cha har art rts ts  s w  wi wit ith th  h     s  su suc ucc cce ces ess ssi siv ive ve  e T  To Top op  p     e  en ent ntr tri rie ies es  s     T  To To  o d  da dat ate te  e     K  Ky Kyl yli lie ie  e h  ha has as  s s  sp spe pen ent nt  t     w  we wee eek eks ,tr,ro
543,", USA )",USA U S A  US USA SA  ,sk,vi
544,Stones .,Stones S t o n e s Sto ton one nes es  ,nl,ca
545,núm . 100,núm núm ,es,en
546,- agulid -,agulid a g u l i d  ag agu gul uli lid id  ,et,sv
547,la banda creant,la l a banda b a n d a creant c r e a n t la  a b  ba ban and nda da  a c  cr cre rea ean ant ,ca,eu
548,• 1954 :,• • •   ,pl,pt
549,1970 Sevastjanov •,Sevastjanov S e v a s t j a n o v • •  Se Sev eva vas ast stj tja jan ano nov ov  v • ,et,cs
550,( 700 eaa,eaa e a a   e  ea eaa ,fi,ro
551,( 1957 ),,uk,en
552,J. ; Tholen,J J Tholen T h o l e n J     T  Th Tho hol ole len ,th,da
553,Барселона ( 1,Барселона Б а р с е л о н а Бар арс рсе сел ело лон она на  а   ,uk,ru
554,· Port of,· · Port P o r t of o f · P  Po Por ort rt  t o  of ,hu,ca
555,1981 ) ·,· ,nn,no
556,'' Cite error,Cite error Cit ite tee eer err rro ror ,en,id
557,i 1819. ),i ,hr,no
558,"en 1898 ,",en ,es,fr
559,June ) [ 7 ] 3 killed ( 24 June,June J u n e killed k i l l e d June J u n e Jun une ne  e                     k  ki kil ill lle led ed  d         J  Ju Jun une ,ar,da
560,vere in izhaja,vere in izhaja ver ere rei ein ini niz izh zha haj aja ,sl,de
561,кем . ал,кем к е м ал а л кем ем  м     а  ал ,kk,ru
562,· Scary Monsters · Let 's Dance · Tonight ·,· Scary Monsters · Let s Dance · Tonight · ·Sc Sca car ary ryM yMo Mon ons nst ste ter ers rs· s·L ·Le Let ets tsD sDa Dan anc nce ce· e·T ·To Ton oni nig igh ght ht· ,nn,no
563,. Bruun de,Bruun B r u u n de d e  Br Bru ruu uun un  n d  de ,da,ca
564,ots=zYculI4sx- & sig=qJY3yFKfrqlGB3OxO4zHeZ7V4VY,otszYculIsx o t s z Y c u l I s x sigqJYyFKfrqlGBOxOzHeZVVY s i g q J Y y F K f r q l G B O x O z H e Z V V Y ots tsz szY zYc Ycu cul ulI lIs Isx sx  x     s  si sig igq gqJ qJY JYy YyF yFK FKf Kfr frq rql qlG lGB GBO BOx OxO xOz OzH zHe HeZ eZV ZVV VVY ,el,uz
565,"245,000 viewers during",viewers during vie iew ewe wer ers rsd sdu dur uri rin ing ,en,de
566,Dong Xieng Thong,Dong D o n g Xieng X i e n g Thong T h o n g Don ong ng  g X  Xi Xie ien eng ng  g T  Th Tho hon ong ,lt,vi
567,liturxia ( por,liturxia por lit itu tur urx rxi xia iap apo por ,gl,pt
568,kontinuiranu vizualnu okolinu,kontinuiranu vizualnu okolinu kon ont nti tin inu nui uir ira ran anu nuv uvi viz izu zua ual aln lnu nuo uok oko kol oli lin inu ,hr,sh
569,his 65th Birthday,his th Birthday his ist sth thB hBi Bir irt rth thd hda day ,pt,en
570,un grand-parent immigré,un grandparent immigré ung ngr gra ran and ndp dpa par are ren ent nti tim imm mmi mig igr gré ,fr,it
571,"m. , najvyšší",m m najvyšší n a j v y š š í m     n  na naj ajv jvy vyš yšš šší ,sk,cs
572,1953 ) ·,· ,sl,no
573,Ramesh Chennithala visited,Ramesh Chennithala visited Ram ame mes esh shC hCh Che hen enn nni nit ith tha hal ala lav avi vis isi sit ite ted ,en,it
574,diplomáticos . [,diplomáticos dip ipl plo lom omá mát áti tic ico cos ,pt,es
575,. Brojne rijeke koje izviru u tim planinama osiguravaju vodu,Brojne rijeke koje izviru u tim planinama osiguravaju vodu Bro roj ojn jne ner eri rij ije jek eke kek eko koj oje jei eiz izv zvi vir iru ruu uut uti tim imp mpl pla lan ani nin ina nam ama mao aos osi sig igu gur ura rav ava vaj aju juv uvo vod odu ,hr,sh
576,det området som,det området som det eto tom omr mrå råd åde det ets tso som ,no,nn
577,"Республики Техас ,",Республики Р е с п у б л и к и Техас Т е х а с Рес есп спу пуб убл бли лик ики ки  и Т  Те Тех еха хас ас  ,ru,ce
578,• Сутенес •,• • Сутенес С у т е н е с • • • С  Су Сут уте тен ене нес ес  с • ,uk,ru
579,Borussia Dortmund •,Borussia B o r u s s i a Dortmund D o r t m u n d • • Bor oru rus uss ssi sia ia  a D  Do Dor ort rtm tmu mun und nd  d • ,sv,da
580,Mons Niger ·,Mons Niger · Mon ons nsN sNi Nig ige ger er· ,la,no
581,| Jagna |,Jagna Jag agn gna ,ceb,it
582,"Silsden , West",Silsden S i l s d e n West W e s t Sil ils lsd sde den en  n     W  We Wes est ,ca,nl
583,· Штерн (,· · Штерн Ш т е р н · Ш  Шт Ште тер ерн рн  ,uk,kk
584,"torpédovou loď ,",torpédovou t o r p é d o v o u loď l o ď tor orp rpé péd édo dov ovo vou ou  u l  lo loď oď  ,cs,sk
585,", 6 juli",juli j u l i   j  ju jul uli ,nl,sv
586,o dosti členité,o o dosti d o s t i členité č l e n i t é o d  do dos ost sti ti  i č  čl čle len eni nit ité ,cs,sk
587,· ULAN : 500066589,· · ULAN U L A N · U  UL ULA LAN AN  N   ,be,ro
588,[ 2 ],,gl,en
589,violaciones a los derechos humanos nunca y para nadie pueden,violaciones v i o l a c i o n e s a a los l o s derechos d e r e c h o s humanos h u m a n o s nunca n u n c a y y para p a r a nadie n a d i e pueden p u e d e n vio iol ola lac aci cio ion one nes es  s a  a  a l  lo los os  s d  de der ere rec ech cho hos os  s h  hu hum uma man ano nos os  s n  nu nun unc nca ca  a y  y  y p  pa par ara ra  a n  na nad adi die ie  e p  pu pue ued ede den ,sv,es
590,• Glaukon • Karnead • Kebes • Kleant • Kleobul,• Glaukon • Karnead • Kebes • Kleant • Kleobul •Gl Gla lau auk uko kon on• n•K •Ka Kar arn rne nea ead ad• d•K •Ke Keb ebe bes es• s•K •Kl Kle lea ean ant nt• t•K •Kl Kle leo eob obu bul ,hr,id
591,"XIV , Fernán",XIV Fernán XIV IVF VFe Fer ern rná nán ,gl,es
592,Толкование Библии на,Толкование Т о л к о в а н и е Библии Б и б л и и на н а Тол олк лко ков ова ван ани ние ие  е Б  Би Биб ибл бли лии ии  и н  на ,ru,bg
593,"регион вскоре стал известен как страна Бронте ) , пережив",регион р е г и о н вскоре в с к о р е стал с т а л известен и з в е с т е н как к а к страна с т р а н а Бронте Б р о н т е пережив п е р е ж и в рег еги гио ион он  н в  вс вск ско кор оре ре  е с  ст ста тал ал  л и  из изв зве вес ест сте тен ен  н к  ка как ак  к с  ст стр тра ран ана на  а Б  Бр Бро рон онт нте те  е         п  пе пер ере реж ежи жив ,ru,bg
594,2 ) discrete,discrete dis isc scr cre ret ete ,en,pt
595,. ),,vo,en
596,^ `` For,For F o r   F  Fo For ,tr,da
597, Bacungan  |  Baliguian  |  Godod  |  Gutalac  |  Jose Dalman  |  Kalawit  |  Katipunan  |  La Libertad  |  Labason  |  Liloy  |  Manukan  |  Mutia  |  Piñan  |  Polanco  |  Pres. Manuel A. Roxas  |  Rizal  |  Salug  |  Sergio Osmeña Sr.  |  Siayan  |  Sibuco  |  Sibutad  |  Sindangan  |  Siocon  |  Sirawai  |  Tampilisan ,Bacungan Baliguian Godod Gutalac Jose Dalman Kalawit Katipunan La Libertad Labason Liloy Manukan Mutia Piñan Polanco Pres Manuel A Roxas Rizal Salug Sergio Osmeña Sr Siayan Sibuco Sibutad Sindangan Siocon Sirawai Tampilisan Bac acu cun ung nga gan anB nBa Bal ali lig igu gui uia ian anG nGo God odo dod odG dGu Gut uta tal ala lac acJ cJo Jos ose seD eDa Dal alm lma man anK nKa Kal ala law awi wit itK tKa Kat ati tip ipu pun una nan anL nLa LaL aLi Lib ibe ber ert rta tad adL dLa Lab aba bas aso son onL nLi Lil ilo loy oyM yMa Man anu nuk uka kan anM nMu Mut uti tia iaP aPi Piñ iña ñan anP nPo Pol ola lan anc nco coP oPr Pre res esM sMa Man anu nue uel elA lAR ARo Rox oxa xas asR sRi Riz iza zal alS lSa Sal alu lug ugS gSe Ser erg rgi gio ioO oOs Osm sme meñ eña ñaS aSr SrS rSi Sia iay aya yan anS nSi Sib ibu buc uco coS oSi Sib ibu but uta tad adS dSi Sin ind nda dan ang nga gan anS nSi Sio ioc oco con onS nSi Sir ira raw awa wai aiT iTa Tam amp mpi pil ili lis isa san ,war,ceb
598,Landskap [ sunting,Landskap sunting Lan and nds dsk ska kap aps psu sun unt nti tin ing ,ms,id
599,"de 2009 ,",de ,pt,es
600,( 1952 ),,hu,en
601,( »Golden Age,»Golden Age »Go Gol old lde den enA nAg Age ,sl,de
602,", dubok (",dubok dub ubo bok ,sh,fr
603,deportes favoritos da,deportes favoritos da dep epo por ort rte tes esf sfa fav avo vor ori rit ito tos osd sda ,gl,pt
604,Valley | Illinois-Indiana-Kentucky Tri-State Area | Little Egypt | Metro‑East,Valley IllinoisIndianaKentucky TriState Area Little Egypt Metro‑East Val all lle ley eyI yIl Ill lli lin ino noi ois isI sIn Ind ndi dia ian ana naK aKe Ken ent ntu tuc uck cky kyT yTr Tri riS iSt Sta tat ate teA eAr Are rea eaL aLi Lit itt ttl tle leE eEg Egy gyp ypt ptM tMe Met etr tro ro‑ o‑E ‑Ea Eas ast ,id,it
605,"sayı 2,3 milyon",sayı s a y ı milyon m i l y o n say ayı yı  ı     m  mi mil ily lyo yon ,az,tr
606,"la persa ,",la l a persa p e r s a la  a p  pe per ers rsa sa  ,eo,ca
607,"i 1919 av arbeidere i steinbruddet ved Apalløkka , som",i av arbeidere i steinbruddet ved Apalløkka som iav ava var arb rbe bei eid ide der ere rei eis ist ste tei ein inb nbr bru rud udd dde det etv tve ved edA dAp Apa pal all llø løk økk kka kas aso som ,no,nn
608,del agua refleja,del agua refleja del ela lag agu gua uar are ref efl fle lej eja ,es,no
609,2 ] Garai,Garai G a r a i   G  Ga Gar ara rai ,eu,sv
610,: de serie,de d e serie s e r i e  de de  e s  se ser eri rie ,nl,sv
611,", Houston s'havia",Houston H o u s t o n shavia s h a v i a  Ho Hou ous ust sto ton on  n s  sh sha hav avi via ,ca,uz
612,gatvė . Jen,gatvė g a t v ė Jen J e n gat atv tvė vė  ė     J  Je Jen ,eo,lt
613,Andrea Caesalpino 1519-1603,Andrea A n d r e a Caesalpino C a e s a l p i n o And ndr dre rea ea  a C  Ca Cae aes esa sal alp lpi pin ino no  ,ar,ro
614,objectiu era reformar,objectiu o b j e c t i u era e r a reformar r e f o r m a r obj bje jec ect cti tiu iu  u e  er era ra  a r  re ref efo for orm rma mar ,ca,sv
615,"parameter |coauthors= ( help ) Available at StephenJayGould.org , Stephen",parameter coauthors help Available at StephenJayGouldorg Stephen par ara ram ame met ete ter erc rco coa oau aut uth tho hor ors rsh she hel elp lpA pAv Ava vai ail ila lab abl ble lea eat atS tSt Ste tep eph phe hen enJ nJa Jay ayG yGo Gou oul uld ldo dor org rgS gSt Ste tep eph phe hen ,sh,en
616,Hrvatskoj to bilo,Hrvatskoj to bilo Hrv rva vat ats tsk sko koj ojt jto tob obi bil ilo ,hr,sh
617,Древний Шумер :,Древний Д р е в н и й Шумер Ш у м е р Дре рев евн вни ний ий  й Ш  Шу Шум уме мер ер  ,ru,uk
618,titik atas permukaan,titik atas permukaan tit iti tik ika kat ata tas asp spe per erm rmu muk uka kaa aan ,ms,id
619,Murena and a,Murena and a Mur ure ren ena naa aan and nda ,en,id
620,S. 287 f .,S f ,de,zh
621,"↑ 67,0 67,1 ARQ contributors ( 2005 ) . «From heat sources to heart sources : Los Alamos made material for plutonium-powered pumper» . Actinide Research Quarterly ( Los Alamos ( NM ) : Los Alamos National Laboratory ) (",↑ ↑ ARQ A R Q contributors c o n t r i b u t o r s «From « F r o m heat h e a t sources s o u r c e s to t o heart h e a r t sources s o u r c e s Los L o s Alamos A l a m o s made m a d e material m a t e r i a l for f o r plutoniumpowered p l u t o n i u m p o w e r e d pumper» p u m p e r » Actinide A c t i n i d e Research R e s e a r c h Quarterly Q u a r t e r l y Los L o s Alamos A l a m o s NM N M Los L o s Alamos A l a m o s National N a t i o n a l Laboratory L a b o r a t o r y ↑         A  AR ARQ RQ  Q c  co con ont ntr tri rib ibu but uto tor ors rs  s                 «  «F «Fr Fro rom om  m h  he hea eat at  t s  so sou our urc rce ces es  s t  to to  o h  he hea ear art rt  t s  so sou our urc rce ces es  s     L  Lo Los os  s A  Al Ala lam amo mos os  s m  ma mad ade de  e m  ma mat ate ter eri ria ial al  l f  fo for or  r p  pl plu lut uto ton oni niu ium ump mpo pow owe wer ere red ed  d p  pu pum ump mpe per er» r»  »     A  Ac Act cti tin ini nid ide de  e R  Re Res ese sea ear arc rch ch  h Q  Qu Qua uar art rte ter erl rly ly  y     L  Lo Los os  s A  Al Ala lam amo mos os  s     N  NM NM  M         L  Lo Los os  s A  Al Ala lam amo mos os  s N  Na Nat ati tio ion ona nal al  l L  La Lab abo bor ora rat ato tor ory ry  y   ,el,hy
622,246 ] .,,eo,en
623,in ghisa e,in ghisa e ing ngh ghi his isa sae ,it,en
624,se stal Hannibal,se s e stal s t a l Hannibal H a n n i b a l se  e s  st sta tal al  l H  Ha Han ann nni nib iba bal ,cs,ca
